project_id,no,project_name,company_name,status,manager_email,date,deadline,budget_type
"778","250058","College Savings Video (entire redo)","Nevada State Treasurer Office","inprogress","nicole@estiponagroup.com","2025-02-06","0000-00-00","quote"
"793","250073","NSM, CC LAP Website Edits","Nevada Department of Tourism & Cultural Affairs","inprogress","chelsey@estiponagroup.com","2025-04-03","2025-06-30","quote"
"796","250076","HDF Proposal","High Desert Feeds","inprogress","chelsey@estiponagroup.com","2025-04-14","0000-00-00","simple"
"815","250095","UNLV Vaccine Confidence","University of Nevada, Las Vegas","inprogress","chelsey@estiponagroup.com","2025-06-13","2026-04-17","quote"
"822","250102","Rural Vaccine Confidence","Nevada Association of Counties","inprogress","chelsey@estiponagroup.com","2025-06-02","2025-12-31","quote"
"825","250105","EmployNV: Organic Social Media","Nevada Department of Employment, Training and Rehabilitation","inprogress","nicole@estiponagroup.com","2025-06-30","0000-00-00","quote"
"827","250107","Website Updates","SB Builders, LLC","inprogress","chelsey@estiponagroup.com","2025-06-18","0000-00-00","quote"
"828","250108","BCTNN 2025 Lithium Battery Project","Building & Construction Trades Development Corp Northern Nevada","inprogress","ali@estiponagroup.com","2025-06-19","2026-06-30","quote"
"831","250111","2026 Rodeo Ad","Clarkson Accounting","inprogress","chelsey@estiponagroup.com","2025-07-11","2026-04-10","quote"
"832","250112","Colorectal Campaign 2026","Nevada Cancer Coalition","inprogress","nicole@estiponagroup.com","2025-07-11","0000-00-00","quote"
"833","250113","ThriveNV 2025 Campaign","Nevada Cancer Coalition","inprogress","nicole@estiponagroup.com","2025-07-11","0000-00-00","quote"
"843","250123","Content Audit and Update","Silverado Homes","inprogress","chelsey@estiponagroup.com","2025-07-22","2025-09-30","quote"
"845","250125","Student Loan Ombudsman Program Rebrand","Nevada State Treasurer Office","inprogress","nicole@estiponagroup.com","2025-08-25","0000-00-00","quote"
"848","250128","Prepaid Referral Campaign","Nevada State Treasurer Office","inprogress","nicole@estiponagroup.com","2025-08-26","0000-00-00","quote"
"850","250130","NAC FY26","Nevada Department of Tourism & Cultural Affairs","inprogress","nicole@estiponagroup.com","2025-09-09","0000-00-00","quote"
"853","250131","NSRRM Carson City FY26","Nevada Department of Tourism & Cultural Affairs","inprogress","ali@estiponagroup.com","2025-09-09","2026-06-30","simple"
"854","250132","NSRRM Boulder City FY26","Nevada Department of Tourism & Cultural Affairs","inprogress","ali@estiponagroup.com","2025-09-09","2026-06-30","simple"
"855","250133","NSM Las Vegas FY26","Nevada Department of Tourism & Cultural Affairs","inprogress","ali@estiponagroup.com","2025-09-09","2026-06-30","simple"
"856","250134","NSM Carson City FY26","Nevada Department of Tourism & Cultural Affairs","inprogress","ali@estiponagroup.com","2025-09-09","2026-06-30","simple"
"857","250135","Lost City Museum FY26","Nevada Department of Tourism & Cultural Affairs","inprogress","ali@estiponagroup.com","2025-09-09","2026-06-30","simple"
"858","250136","NSRRM East Ely FY26","Nevada Department of Tourism & Cultural Affairs","inprogress","ali@estiponagroup.com","2025-09-09","2026-06-30","simple"
"859","250137","Nevada Historical Society FY26","Nevada Department of Tourism & Cultural Affairs","inprogress","ali@estiponagroup.com","2025-09-09","2026-06-30","simple"
"860","250138","Family Navigation Network Proposal","Nevada Center for Excellence in Disabilities","inprogress","chelsey@estiponagroup.com","2025-09-09","2025-09-19","quote"
"861","250139","General Museums FY26","Nevada Department of Tourism & Cultural Affairs","inprogress","chelsey@estiponagroup.com","2025-09-09","2026-07-08","—"
"862","250140","America250 FY26","Nevada Department of Tourism & Cultural Affairs","inprogress","chelsey@estiponagroup.com","2025-09-09","2026-06-30","quote"
"864","250142","Family Navigation Network Promotion","Nevada Center for Excellence in Disabilities","inprogress","chelsey@estiponagroup.com","2025-09-19","0000-00-00","quote"
"865","250143","NDTCA General FY26","Nevada Department of Tourism & Cultural Affairs","inprogress","chelsey@estiponagroup.com","2025-09-01","2026-06-30","quote"
"870","250148","EmployNV: Collateral","Nevada Department of Employment, Training and Rehabilitation","inprogress","nicole@estiponagroup.com","2025-10-07","0000-00-00","quote"
"873","250151","Logo and Seal Design","Nevada Department of Tourism & Cultural Affairs","inprogress","chelsey@estiponagroup.com","2025-09-29","0000-00-00","quote"
"877","250155","IPN Branding and Website","Independent Physicians of Nevada","inprogress","chelsey@estiponagroup.com","2025-11-03","0000-00-00","quote"
"880","250158","Museum Bookmarks and Stickers","Nevada Department of Tourism & Cultural Affairs","inprogress","chelsey@estiponagroup.com","2025-11-12","0000-00-00","quote"
"881","250159","TVVA Proposal","Tanque Verde Valley Association","inprogress","nicole@estiponagroup.com","2025-11-17","0000-00-00","simple"
"882","250160","ANW Performance Marketing","Answerwest","inprogress","ali@estiponagroup.com","2025-11-19","2026-06-30","simple"
"883","250161","RFP Advertising, Creative, & Production Services","Reno-Tahoe Airport Authority","inprogress","chelsey@estiponagroup.com","2025-11-26","0000-00-00","simple"
"886","250164","NAC FY26: Nevada Heritage Fellows Harold Akyeampong Video","Nevada Department of Tourism & Cultural Affairs","inprogress","nicole@estiponagroup.com","2025-12-04","2026-06-18","quote"
"887","250165","CTV Campaign","Nevada State Treasurer Office","inprogress","nicole@estiponagroup.com","2025-12-11","2026-03-13","quote"
"888","250166","NNPH 2026 Youth Vaping Prevention","Northern Nevada Public Health","inprogress","ali@estiponagroup.com","2025-12-16","2026-03-31","quote"
"890","260006","SVH 2026 Retainer","Silverado Homes","inprogress","chelsey@estiponagroup.com","2026-01-01","2026-12-31","—"
"891","260000","ECC 2026 Paid Search Retainer","Erlach Computer Consulting","inprogress","nicole@estiponagroup.com","2026-01-01","2026-12-31","—"
"892","260003","NLT 2026 Website Maintenance Retainer","Nevada Land Trust","inprogress","chelsey@estiponagroup.com","2026-01-01","2026-12-31","—"
"893","260004","NW 2026 Retainer","Nevadaworks","inprogress","nicole@estiponagroup.com","2026-01-01","2026-12-31","—"
"894","260001","NCC 2026 Website Maintenance Retainer","Nevada Cancer Coalition","inprogress","nicole@estiponagroup.com","2026-01-01","2026-12-31","—"
"895","260007","UN 2026 Retainer","Urology Nevada","inprogress","chelsey@estiponagroup.com","2026-01-01","2026-12-31","—"
"896","260005","STO 2026 Retainer","Nevada State Treasurer Office","inprogress","nicole@estiponagroup.com","2026-01-01","2026-12-31","—"
"898","260009","EG 2026 Retainer","Estipona Group","inprogress","ali@estiponagroup.com","2026-01-01","2026-12-31","—"
"899","260008","VC 2026 Website Maintenance Retainer","Vigilant Controls","inprogress","chelsey@estiponagroup.com","2026-01-01","2026-12-31","—"
"900","260010","TMT 2026 Retainer","Truckee Meadows Tomorrow","inprogress","ali@estiponagroup.com","2026-01-01","2026-12-31","—"
"901","260011","EG 2026 Admin","Estipona Group","inprogress","ali@estiponagroup.com","2025-12-31","2026-12-27","—"
"902","260012","EG 2026 Volunteer","Estipona Group","inprogress","ali@estiponagroup.com","2026-01-01","2026-12-31","—"
"903","260013","NVHC 2026 Retainer","Nevada Health Centers","inprogress","nicole@estiponagroup.com","2026-01-01","2026-12-31","—"
"906","260016","Proposal","Nevada Women's Fund","inprogress","chelsey@estiponagroup.com","2026-01-02","2026-01-30","simple"
"907","260017","UNCF 2026 Retainer","Urology Nevada Cancer Foundation","inprogress","chelsey@estiponagroup.com","2026-01-07","2026-12-31","quote"
"908","260018","Justin Lewis Onboarding","Estipona Group","inprogress","nicole@estiponagroup.com","2026-01-12","0000-00-00","quote"
"911","260021","Tobacco Retainer 2026 Campaign","Nevada Cancer Coalition","inprogress","nicole@estiponagroup.com","2026-01-12","0000-00-00","quote"
"914","260024","Nevada 988 Marketing Campaign","Department of Health and Human Services Division of Public and Behavioral Health","inprogress","nicole@estiponagroup.com","2026-01-21","0000-00-00","quote"
"915","260025","ABLE Program Awareness Campaign","Nevada State Treasurer Office","inprogress","nicole@estiponagroup.com","2026-01-21","0000-00-00","quote"
"916","260026","NAC FY26: POL 2026 Video","Nevada Department of Tourism & Cultural Affairs","inprogress","nicole@estiponagroup.com","2026-01-21","0000-00-00","quote"
"917","260027","NAC FY26 Rebrand","Nevada Department of Tourism & Cultural Affairs","inprogress","nicole@estiponagroup.com","2026-01-21","0000-00-00","quote"
"918","260028","NHD 2026 Retainer","Nevada Housing Division","inprogress","nicole@estiponagroup.com","2026-01-01","2026-12-31","—"
"919","260029","Fire Prevention Proposal","Nevada State Bureau of Land Management","inprogress","chelsey@estiponagroup.com","2026-01-26","0000-00-00","simple"
"920","260030","UNRDTD 2026–2027 Season Artwork","UNR Department of Theatre and Dance","inprogress","ali@estiponagroup.com","2026-01-12","2026-05-29","quote"
"925","260035","Nursing Recruitment Campaign 2026","Great Basin College","inprogress","nicole@estiponagroup.com","2026-02-10","0000-00-00","quote"
"926","260036","Proposal","State of Montana","inprogress","chelsey@estiponagroup.com","2026-02-11","0000-00-00","quote"
"928","260038","NUI 2026 – 2027 Marketing","Nevada Department of Employment, Training and Rehabilitation","inprogress","nicole@estiponagroup.com","2026-04-01","2027-06-30","—"
"929","260039","NEST 2026 Ad Campaign","Nevada State Treasurer Office","inprogress","nicole@estiponagroup.com","2026-02-13","2026-05-12","quote"
"931","260041","NAC FY26: Poet Laureate Gathering Video","Nevada Department of Tourism & Cultural Affairs","inprogress","nicole@estiponagroup.com","2026-01-22","0000-00-00","quote"
"932","260042","General Enrollment Campaign","Great Basin College","inprogress","nicole@estiponagroup.com","2026-02-27","0000-00-00","quote"
"934","260044","Branding & Website Proposal","Nevada Health Authority","inprogress","chelsey@estiponagroup.com","2026-03-02","2026-03-27","quote"
"935","260045","RFP Branding and marketing services","Nevada State University","inprogress","chelsey@estiponagroup.com","2026-03-02","0000-00-00","quote"
"938","260048","CFNN Professional Advisory Council Collateral","Community Foundation of Northern Nevada","inprogress","ali@estiponagroup.com","2026-03-11","2026-04-24","quote"
"939","260049","Taste 2026 Logo","Advocates to End Domestic Violence","inprogress","chelsey@estiponagroup.com","2026-03-16","0000-00-00","quote"
"940","260050","Nevada Treasury Rebrand","Nevada State Treasurer Office","inprogress","nicole@estiponagroup.com","2026-02-18","0000-00-00","quote"
"941","260051","Renown + TMT Impact Report","Truckee Meadows Tomorrow","inprogress","ali@estiponagroup.com","2026-03-05","2026-04-01","quote"
"943","260053","Marketing Plan Phase 1","Independent Physicians of Nevada","inprogress","chelsey@estiponagroup.com","2026-03-30","2026-09-30","quote"
"944","260054","OWINN Career Path Game Development","Nevada Department of Employment, Training and Rehabilitation","inprogress","nicole@estiponagroup.com","2026-03-17","0000-00-00","quote"
"945","260055","City Of Chandler RFP","State of Arizona","inprogress","chelsey@estiponagroup.com","2026-04-02","2026-04-21","quote"
"946","260056","CFNN Interim Marketing Assistance","Community Foundation of Northern Nevada","inprogress","ali@estiponagroup.com","2026-04-02","2026-06-26","quote"
"947","260057","NNDC Website","Northern Nevada Dream Center","inprogress","ali@estiponagroup.com","2026-04-01","0000-00-00","quote"
"948","260058","Silver Crossing Logo","Silverado Homes","inprogress","chelsey@estiponagroup.com","2026-04-07","0000-00-00","quote"
"949","260059","Vaccine Confidence Campaign","Nevada Cancer Coalition","inprogress","nicole@estiponagroup.com","2026-04-08","0000-00-00","quote"
"950","260060","HPV Back to School 2026 Campaign","Nevada Cancer Coalition","inprogress","nicole@estiponagroup.com","2026-04-08","0000-00-00","quote"
"951","260061","ThriveNV Cervical Cancer Screening Campaign","Nevada Cancer Coalition","inprogress","nicole@estiponagroup.com","2026-04-08","0000-00-00","quote"
"952","260062","TMT 2026 Community Progress Report","Truckee Meadows Tomorrow","inprogress","ali@estiponagroup.com","2026-03-16","2026-09-28","quote"
"953","260063","HAN 2026","Hot August Nights","inprogress","chelsey@estiponagroup.com","2026-04-15","2026-09-30","quote"
"954","260064","Social Media Advertising","Jon Killoran for Washoe County","inprogress","chelsey@estiponagroup.com","2026-04-16","0000-00-00","quote"
"955","260065","Video Proposal","Nevada SCATS","inprogress","chelsey@estiponagroup.com","2026-04-16","0000-00-00","quote"
